a,a,
aardvark,aardvaark,
abaci,abeusie,
aback,eubak,
abacus,abeukeus,
abaft,eubaft,
abalone,abeuloeny,
abandon,eubandn,
abandoned,eubandnd,
abandonment,euband'nm'nt,
abase,eubaes,
abasement,eubaesm'nt,
abash,eubash,
abashed,eubasht,
abate,eubaet,
abatement,eubaetm'nt,
abattoir,abeutwaar,
abbess,abis,
abbey,aby,
abbot,abeut,
abbreviate,eubreeviaet,
abbreviation,eubreeviaeshn,
abdicate,abdikaet,
abdication,abdikaeshn,
abdomen,abdeum'n,
abdominal,abdomin'l,
abduct,abdukt,
abductee,abduktee,
abduction,abduxhn,
abductor,abduktr,
abeam,eubeem,
abed,eubed,
aberrant,abeur'nt,
aberration,abeuraeshn,
abet,eubet,
abeyance,eubaeuns,
abhor,abhaur,
abhorrence,abhaur'ns,
abhorrent,abhaur'nt,
abide,eubied,
abiding,eubieding,
ability,eubility,
abject,abjekt,
abjectly,abjektly,
abjure,abjoor,
ablaze,eublaez,
able,aebl,
able-bodied,aebl-bodyd,
ably,aebly,
abnegation,abnigaeshn,
abnormal,abnaurm'l,
abnormality,abnaurmality,
abnormally,abnaurm'ly,
aboard,eubaurd,
abode,euboed,
abolish,eubolish,
abolition,abeulishn,
abolitionist,abeulish'nist,
A-bomb,A-bom,
abominable,eubomineubl,
abominably,eubomineubly,
abominate,eubominaet,
abomination,eubominaeshn,
aboriginal,abeurijin'l,
aborigine,abeurijiny,
abort,eubaurt,
abortion,eubaurshn,
abortionist,eubaursh'nist,
abortive,eubaurtiv,
abound,eubound,
about,eubout,
about-face,eubout-faes,
above,eubuv,
aboveboard,eubuvbaurd,
abracadabra,abreukeudabra,
abrade,eubraed,
Abraham,Aebreuham,
abrasion,eubraezhn,
abrasive,eubraesiv,
abrasively,eubraesivly,
abreast,eubrest,
abridge,eubrij,
abridgment,eubrijm'nt,
abroad,eubraud,
abrogate,abreugaet,
abrogation,abreugaeshn,
abrupt,eubrupt,
abruptly,eubruptly,
abruptness,eubruptnes,
abscess,abses,
abscessed,absest,
abscond,abskond,
absence,absns,
absent,absnt,
absentee,absntee,
absenteeism,absnteeizm,
absently,absntly,
absent-minded,absnt-miendid,
absent-mindedly,absnt-miendidly,
absent-mindedness,absnt-miendidnes,
absinthe,absinth,
absolute,abseuloot,
absolutely,abseulootly,
absolution,abseulooshn,
absolutism,abseulootizm,
absolve,eubzolv,
absorb,eubsaurb,
absorbed,eubsaurbd,
absorbency,eubsaurbnsy,
absorbent,eubsaurbnt,
absorbing,eubsaurbing,
absorption,eubsaurpshn,
abstain,eubstaen,
abstainer,eubstaen'r,
abstemious,absteemius,
abstention,eubstenshn,
abstinence,abstin'ns,
abstinent,abstin'nt,
abstract,abstrakt,adj
abstract,abstrakt,n
abstracted,abstraktid,
abstraction,abstraxhn,
abstractly,abstraktly,
abstractness,abstraktnes,
abstruse,abstroos,
abstrusely,abstroosly,
abstruseness,abstroosnes,
absurd,eubseurd,
absurdity,eubseurdity,
absurdly,eubseurdly,
abundance,eubundns,
abundant,eubundnt,
abundantly,eubundntly,
abuse,eubues,n
abuse,eubuez,v
abusive,eubuesiv,
abusively,eubuesivly,
abusiveness,eubuesivnes,
abut,eubut,
abutment,eubutm'nt,
abysmal,eubizm'l,
abysmally,eubizm'ly,
abyss,eubis,
acacia,eukaesha,
academia,akeudeemia,
academic,akeudemik,
academically,akeudemikly,
academician,akeudeumishn,
academy,eukadeumy,
accede,axeed,
accelerate,axeleuraet,
acceleration,axeleuraeshn,
accelerator,axeleuraetr,
accent,axent,
accented,axentid,
accentuate,axenchooaet,
accentuation,axenchooaeshn,
accept,axept,
acceptability,axepteubility,
acceptable,axepteubl,
acceptably,axepteubly,
acceptance,axeptns,
accepted,axeptid,
access,axes,
accessibility,axeseubility,
accessible,axeseubl,
accessibly,axeseubly,
accession,axeshn,
accessory,axeseury,
accident,axidnt,
accidental,axidentl,
accidentally,axident'ly,
accident-prone,axidnt-proen,
acclaim,euklaem,
acclaimed,euklaemd,
acclamation,akleumaeshn,
acclimate,akleumaet,
acclimation,akleumaeshn,
acclimatization,eukliemeutizaeshn,
acclimatize,eukliemeutiez,
accolade,akeulaed,
accommodate,eukomeudaet,
accommodating,eukomeudaeting,
accommodation,eukomeudaeshn,
accommodations,eukomeudaeshnz,
accompaniment,eukumpeunym'nt,
accompanist,eukumpeunist,
accompany,eukumpeuny,
accomplice,eukomplis,
accomplish,eukomplish,
accomplished,eukomplisht,
accomplishment,eukomplishm'nt,
accord,eukaurd,
accordance,eukaurdns,
accordingly,eukaurdingly,
accordion,eukaurdiun,
accost,eukaust,
account,eukount,
accountability,eukounteubility,
accountable,eukounteubl,
accountant,eukountnt,
accounting,eukounting,
accouterments,eukoot'rm'nts,
accredit,eukredit,
accreditation,eukreditaeshn,
accredited,eukreditid,
accrue,eukroo,
accumulate,eukuemyeulaet,
accumulation,eukuemyeulaeshn,
accumulative,eukuemyeulaetiv,
accuracy,akyeureusy,
accurate,akyeurit,
accurately,akyeuritly,
accurateness,akyeuritnes,
accursed,eukeurst,
accusation,akuezaeshn,
accusative,eukuezeutiv,
accusatory,eukuezeutaury,
accuse,eukuez,
accused,eukuezd,
accuser,eukuezr,
accusing,eukuezing,
accusingly,eukuezingly,
accustom,eukustm,
accustomed,eukustmd,
ace,aes,
acerbic,euseurbik,
acerbity,euseurbity,
acetaminophen,euseeteumineufn,
acetate,asitaet,
acetone,asitoen,
acetylene,euseteuleen,
ache,aek,
achievable,eucheeveubl,
achieve,eucheev,
achievement,eucheevm'nt,
achiever,eucheevr,
achoo,euchoo,
achy,aeky,
acid,asid,
acidic,eusidik,
acidify,eusidifie,
acidity,eusidity,
acidly,asidly,
acknowledge,aknolij,
acknowledged,aknolijd,
acknowledgment,aknolijm'nt,
acme,akmy,
acne,akny,
acolyte,akeuliet,
acorn,aekaurn,
acoustic,eukoostik,
acoustical,eukoostikl,
acoustically,eukoostikly,
acoustics,eukoostiks,
acquaint,euqaent,
acquaintance,euqaentns,
acquainted,euqaentid,
acquiesce,aqiyes,
acquiescence,aqiyesns,
acquiescent,aqiyesnt,
acquire,euqier,
acquirement,euqierm'nt,
acquisition,aqizishn,
acquisitive,euqizitiv,
acquisitiveness,euqizitivnes,
acquit,euqit,
acquittal,euqitl,
acre,aekr,
acreage,aek'rij,
acrid,akrid,
acrimonious,akreumoenius,
acrimony,akreumoeny,
acrobat,akreubat,
acrobatic,akreubatik,
acrobatics,akreubatiks,
acronym,akreunim,
acropolis,eukropeulis,
across,eukraus,
across-the-board,eukraus-thi-baurd,
acrylic,eukrilik,
act,akt,
acting,akting,
action,axhn,
activate,aktivaet,
activation,aktivaeshn,
active,aktiv,
actively,aktivly,
activism,aktivizm,
activist,aktivist,
activity,aktivity,
actor,aktr,
actress,aktris,
actual,akchooul,
actuality,akchooality,
actualization,akchooulizaeshn,
actualize,akchoouliez,
actually,akchoouly,
actuarial,akchooairiul,
actuary,akchooairy,
actuate,akchooaet,
acuity,eukueity,
acumen,eukuem'n,
acupuncture,akyeupunkchr,
acupuncturist,akyeupunkch'rist,
acute,eukuet,
acutely,eukuetly,
acuteness,eukuetnes,
ad,ad,
adage,adij,
adagio,eudaajoe,
Adam,Adm,
adamant,adeum'nt,
adamantly,adeum'ntly,
adapt,eudapt,
adaptability,eudapteubility,
adaptable,eudapteubl,
adaptation,adaptaeshn,
adapter,eudaptr,
add,ad,
addend,adend,
addenda,eudenda,
addendum,eudendm,
adder,adr,
addict,adikt,n
addict,eudikt,v
addicted,eudiktid,
addiction,eudixhn,
addictive,eudiktiv,
addition,eudishn,
additional,eudishn'l,
additionally,eudishn'ly,
additive,aditiv,
addle,adl,
address,eudres,
addressee,adresee,
adduce,eudoos,
adenoidal,adinoidl,
adenoids,adinoidz,
adept,eudept,adj
adept,adept,n
adeptly,eudeptly,
adeptness,eudeptnes,
adequacy,adiqeusy,
adequate,adiqit,
adequately,adiqitly,
adhere,adheer,
adherence,adheer'ns,
adherent,adheer'nt,
adhesion,adheezhn,
adhesive,adheesiv,
adieu,eudoo,
adios,aadioes,
adipose,adipoes,
adjacent,eujaesnt,
adjectival,ajiktievl,
adjectivally,ajiktiev'ly,
adjective,ajiktiv,
adjoin,eujoin,
adjoining,eujoining,
adjourn,eujeurn,
adjournment,eujeurnm'nt,
adjudge,eujuj,
adjudicate,eujoodikaet,
adjudication,eujoodikaeshn,
adjudicator,eujoodikaetr,
adjunct,ajunkt,
adjure,eujoor,
adjust,eujust,
adjustable,eujusteubl,
adjuster,eujustr,
adjustment,eujustm'nt,
adjutant,ajeutnt,
ad-lib,ad-lib,
adman,adman,
admen,admen,
administer,eudministr,
administrate,eudministraet,
administration,eudministraeshn,
administrative,eudministraetiv,
administrator,eudministraetr,
admirable,admeureubl,
admirably,admeureubly,
admiral,admeur'l,
admiralty,admeur'lty,
admiration,admeuraeshn,
admire,eudmier,
admirer,eudmier'r,
admiring,eudmiering,
admiringly,eudmieringly,
admissibility,eudmiseubility,
admissible,eudmiseubl,
admission,eudmishn,
admit,eudmit,
admittance,eudmitns,
admittedly,eudmitidly,
admixture,admixchr,
admonish,admonish,
admonishment,admonishm'nt,
admonition,admeunishn,
admonitory,eudmonitaury,
ado,eudoo,
adobe,eudoeby,
adolescence,adeulesns,
adolescent,adeulesnt,
adopt,eudopt,
adopted,eudoptid,
adoption,eudopshn,
adoptive,eudoptiv,
adorable,eudaureubl,
adorably,eudaureubly,
adoration,adeuraeshn,
adore,eudaur,
adorn,eudaurn,
adornment,eudaurnm'nt,
adrenal,eudreen'l,
adrenaline,eudreneul'n,
adrift,eudrift,
adroit,eudroit,
